2025-05-19 13:44:15,176 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025041402/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250414.nc | Header Content-Type: text/html
2025-05-19 13:44:15,440 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025041502/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250415.nc | Header Content-Type: text/html
2025-05-19 13:44:15,698 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025041602/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250416.nc | Header Content-Type: text/html
2025-05-19 13:44:15,968 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025041702/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250417.nc | Header Content-Type: text/html
2025-05-19 13:44:16,254 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025041802/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250418.nc | Header Content-Type: text/html
2025-05-19 13:44:16,522 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025041902/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250419.nc | Header Content-Type: text/html
2025-05-19 13:44:16,787 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025042002/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250420.nc | Header Content-Type: text/html
2025-05-19 13:44:17,046 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025042102/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250421.nc | Header Content-Type: text/html
2025-05-19 13:44:17,305 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025042202/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250422.nc | Header Content-Type: text/html
2025-05-19 13:44:17,563 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025042302/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250423.nc | Header Content-Type: text/html
2025-05-19 13:44:17,826 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025042402/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250424.nc | Header Content-Type: text/html
