2025-05-19 14:26:53,388 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024062502/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240625.nc | Header Content-Type: text/html
2025-05-19 14:26:53,656 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024062602/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240626.nc | Header Content-Type: text/html
2025-05-19 14:26:53,925 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024062702/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240627.nc | Header Content-Type: text/html
2025-05-19 14:26:54,195 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024062802/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240628.nc | Header Content-Type: text/html
2025-05-19 14:26:54,457 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024062902/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240629.nc | Header Content-Type: text/html
2025-05-19 14:26:54,715 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024063002/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240630.nc | Header Content-Type: text/html
2025-05-19 14:26:54,980 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024070102/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240701.nc | Header Content-Type: text/html
2025-05-19 14:26:55,242 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024070202/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240702.nc | Header Content-Type: text/html
2025-05-19 14:26:55,507 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024070302/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240703.nc | Header Content-Type: text/html
2025-05-19 14:26:55,769 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024070402/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240704.nc | Header Content-Type: text/html
2025-05-19 14:26:56,027 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024070502/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240705.nc | Header Content-Type: text/html
